artist_id,artist_latitude,artist_location,artist_longitude,artist_name,duration,num_songs,song_id,title,year
AR8IEZO1187B99055E,,,,Marc Shaiman,149.86404,1,SOINLJW12A8C13314C,City Slickers,2008
AR558FS1187FB45658,,,,40 Grit,75.67628,1,SOGDBUF12A8C140FAA,Intro,2003
ARVBRGZ1187FB4675A,,,,Gwen Stefani,290.55955,1,SORRZGD12A6310DBC3,Harajuku Girls,2004
ARNF6401187FB57032,40.79086,"New York, NY [Manhattan]",-73.96644,Sophie B. Hawkins,305.162,1,SONWXQJ12A8C134D94,The Ballad Of Sleeping Beauty,1994
AREVWGE1187B9B890A,-13.442,Noci (BA),-41.9952,Bitter End,282.43546,1,SOFCHDR12AB01866EF,Living Hell,0
AR0IAWL1187B9A96D0,8.4177,Panama,-80.11278,Danilo Perez,197.19791,1,SONSKXP12A8C13A2C9,Native Soul,2003
ARWB3G61187FB49404,,"Hamilton, Ohio",,Steve Morse,363.85914,1,SODAUVL12A8C13D184,Prognosis,2000
ARULZCI1241B9C8611,,,,Luna Orbit Project,335.51628,1,SOSWKAV12AB018FC91,Midnight Star,0
AR051KA1187B98B2FF,,,,Wilks,261.51138,1,SOLYIBD12A8C135045,Music is what we love,0
ARPFHN61187FB575F6,41.88415,"Chicago, IL",-87.63241,Lupe Fiasco,279.97995,1,SOWQTQZ12A58A7B63E,Streets On Fire (Explicit Album Version),0
ARJIE2Y1187B994AB7,,,,Line Renaud,152.92036,1,SOUPIRU12A6D4FA1E1,Der Kleine Dompfaff,0
ARLTWXK1187FB5A3F8,32.74863,"Fort Worth, TX",-97.32925,King Curtis,326.00771,1,SODREIN12A58A7F2E5,A Whiter Shade Of Pale (Live @ Fillmore West),0
AR7SMBG1187B9B9066,,,,Los Manolos,218.38322,1,SOBCOSW12A8C13D398,Rumba De Barcelona,0
ARNNKDK1187B98BBD5,45.80726,Zagreb Croatia,15.9676,Jinx,407.37914,1,SOFNOQK12AB01840FC,Kutt Free (DJ Volume Remix),0
ARP6N5A1187B99D1A3,,"Hamtramck, MI",,Mitch Ryder,207.43791,1,SOXILUQ12A58A7C72A,Jenny Take a Ride,2004
ARBGXIG122988F409D,37.77916,California - SF,-122.42005,Steel Rain,173.19138,1,SOOJPRH12A8C141995,Loaded Like A Gun,0
ARGCY1Y1187B9A4FA5,36.16778,"Nashville, TN.",-86.77836,Gloriana,153.33832,1,SOQOTLQ12AB01868D0,Clementina Santafè,0
AR62SOJ1187FB47BB5,,,,Chase & Status,337.68444,1,SOGVQGJ12AB017F169,Ten Tonne,2005
ARBEBBY1187B9B43DB,,"Gainesville, FL",,Tom Petty,236.17261,1,SOFFKZS12AB017F194,A Higher Place (Album Version),1994
ARGSAFR1269FB35070,,,,Blingtones,29.54404,1,SOTCKKY12AB018A141,Sonnerie lalaleulé hi houuu,0
ARDR4AC1187FB371A1,,,,Montserrat Caballé;Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,511.16363,1,SOBAYLL12A8C138AF9,Sono andati? Fingevo di dormire,0
ARAGB2O1187FB3A161,,,,Pucho & His Latin Soul Brothers,338.23302,1,SOLEYHO12AB0188A85,Got My Mojo Workin,0
AR36F9J1187FB406F1,56.27609,Denmark,9.51695,Bombay Rockers,230.71302,1,SOBKWDJ12A8C13B2F3,Wild Rose (Back 2 Basics Mix),0
AREDL271187FB40F44,,,,Soul Mekanik,45.66159,1,SOPEGZN12AB0181B3D,Get Your Head Stuck On Your Neck,0
AR7SMBG1187B9B9066,,,,Los Manolos,218.38322,1,SOBCOSW12A8C13D398,Rumba De Barcelona,0
ARBGXIG122988F409D,37.77916,California - SF,-122.42005,Steel Rain,173.19138,1,SOOJPRH12A8C141995,Loaded Like A Gun,0
ARD7TVE1187B99BFB1,,California - LA,,Casual,259.44771,1,SOQLGFP12A58A7800E,OAKtown,0
ARQ9BO41187FB5CF1F,40.99471,Pennsylvania,-77.60454,John Davis,183.17016,1,SOMVWWT12A58A7AE05,Knocked Out Of The Park,0
AROGWRA122988FEE45,,,,Christos Dantis,243.82649,1,SOSLAVG12A8C13397F,Den Pai Alo,0
ARKULSX1187FB45F84,39.49974,Utah,-111.54732,Trafik,424.12363,1,SOQVMXR12A81C21483,Salt In NYC,0
AR3JMC51187B9AE49D,28.53823,"Orlando, FL",-81.37739,Backstreet Boys,236.25098,1,SOPVXLX12A8C1402D5,Larger Than Life,1999
ARI2JSK1187FB496EF,51.50632,"London, England",-0.12714,Nick Ingman;Gavyn Wright,111.62077,1,SODUJBS12A8C132150,Wessex Loses a Bride,0
AREDBBQ1187B98AFF5,,,,Eddie Calvert,138.63138,1,SOBBXLX12A58A79DDA,Erica (2005 Digital Remaster),0
AR7ZKHQ1187B98DD73,,,,Glad,270.602,1,SOTUKVB12AB0181477,Blessed Assurance,1993
ARPBNLO1187FB3D52F,40.71455,"New York, NY",-74.00712,Tiny Tim,43.36281,1,SOAOIBZ12AB01815BE,I Hold Your Hand In Mine [Live At Royal Albert Hall],2000
